name,contactName,email,phone,category,notes
Tech Innovation Ltd.,Manager Zhang,zhang@tech-innovation.com,010-12345678,Technology,Needs large booth
Green Energy Group,Director Li,li@green-energy.com,021-87654321,Energy,Island booth preferred
Smart Manufacturing Institute,Dr. Wang,wang@smart-manufacturing.com,0755-11112222,Research,Needs power outlets
Startup Incubator,Director Zhao,zhao@startup-incubator.com,020-33334444,Services,Standard booth is fine
New Materials Tech,Engineer Sun,sun@new-materials.com,0571-55556666,Manufacturing,
Cloud Services Provider,Mr. Zhou,zhou@cloud-services.com,010-77778888,Technology,Needs network access
Eco Equipment Company,Manager Wu,wu@eco-equipment.com,025-99990000,Energy,Large equipment display
AI Laboratory,Prof. Zheng,zheng@ai-lab.com,010-12121212,Research,
IoT Platform,CEO Liu,liu@iot-platform.com,0755-34343434,Technology,
Biomedical Enterprise,Manager Chen,chen@biomedical.com,021-56565656,Research,Needs refrigeration
New Energy Vehicles,Director Yang,yang@ev-cars.com,010-78787878,Manufacturing,Outdoor display area
Digital Marketing Co.,Manager Zhu,zhu@digital-marketing.com,020-90909090,Services,
Blockchain Tech,CTO Qin,qin@blockchain-tech.com,0571-23232323,Technology,
Smart City Solutions,Mr. Xu,xu@smart-city.com,010-45454545,Services,Large booth
Robotics Manufacturing,Engineer He,he@robotics.com,0755-67676767,Manufacturing,Needs power supply
Financial Technology,VP Lv,lv@fintech.com,021-89898989,Technology,
EdTech Platform,Director Shi,shi@edu-tech.com,010-01010101,Services,
Health Medical Devices,VP Zhang,zhang@health-devices.com,025-12121212,Manufacturing,
Big Data Analytics,Manager Han,han@big-data.com,0571-34343434,Technology,
Sustainability Consulting,Consultant Cao,cao@sustainability.com,020-56565656,Services,Needs meeting room
